monomer_smiles,medium,solvent,monomer_state,polymer_state,delta_h,delta_s,doi
O=C1CCCO1,solvent,dcm_d2,s,s,-5.4,-39.6,10.1038/nchem.2391
O=C1CCO1,bulk,,l,c,-82.3,-74.0,10.1016/0032-3950(79)90164-3
O=C1CCO1,bulk,,l,a,-74.8,-54.4,10.1016/0032-3950(79)90164-3
O=C1CN(Cc2ccccc2)CCO1,solvent,CD3OD,s,s,-4.64,-7.1,10.1021/ja503830c
O=C1CN(c2ccccc2)CCO1,solvent,CD3OD,s,s,-6.9,-16.0,10.1021/ja503830c
O=C1COC(=O)CO1,bulk,,c,c,-17.0,-3.2,10.1070/RC1996v065n12ABEH000265
O=C1COCCO1,bulk,,l,l,-13.8,-45.0,10.1021/ma030244e
O=C1COCCO1,bulk,,l,l,-15.8,-50.4,10.1021/ma010396e
O=C1COCCO1,solvent,CD2Cl2,s,s,-14.5,-48.1,10.1021/acs.macromol.3c02140
O=C1COCCOCCOCCOCCO1,solvent,DCM,s,s,13.8072,61.92320000000001,10.1021/acsmacrolett.2c00210
O=C1COCCS1,solvent,CD2Cl2,s,s,-9.9,-44.2,10.1021/acs.macromol.3c02140
O=C1CSCCO1,solvent,CD2Cl2,s,s,-15.6,-38.2,10.1021/acs.macromol.3c02140
O=C1CSCCS1,solvent,CD2Cl2,s,s,-10.0,-32.6,10.1021/acs.macromol.3c02140
O=C1CSCCS1,solvent,THF,s,s,-9.5,-30.8,10.1021/acsmacrolett.2c00319
O=C1C[C@@H]2CCCC[C@H]2O1,solvent,THF,s,s,-18.0,-65.0,10.1038/pj.2013.70
O=C1Cc2ccccc2CCO1,solvent,toluene_d8,s,s,-17.5,-23.2,10.1038/s41467-023-38916-5
O=C1NC2CCC1C2,solvent,nmp,s,s,-10.56,-20.45,10.1002/anie.202402541
O=C1NC2CCCC1C2,solvent,NMP,s,s,-10.0,-20.1,10.1021/jacs.1c12611
O=C1OC2CCC1CC2,bulk,,l,a,-34.5,-76.2,10.1002/macp.1980.021810413
O=C1OCCCO1,solvent,THF,s,s,-26.3592,-44.7688,10.1021/ma971227q
O=C1OCCCO1,solvent,toluene,s,s,-17.0,-23.0,10.1021/acs.macromol.4c01469
O=C1OC[C@@H]2CCCC[C@@H]12,solvent,toluene_d8,s,s,-20.0,-72.0,10.1126/science.aar5498
O=C1OC[C@H]2C[C@@H]3C=C[C@]12O3,solvent,dcm,s,s,-25.8,-74.6,10.1021/jacs.4c12678
O=C1OC[C@H]2C[C@@H]3CC[C@]12O3,solvent,dcm,s,s,-24.8,-98.3,1x`0.1021/jacs.4c12678
O=C1O[C@H]2CC[C@@H]1CC2,bulk,,l,c,-35.0,-76.0,10.1070/RC1996v065n12ABEH000265
S=C1CCCCCO1,solvent,C6D6,s,s,-24.2,-56.43,10.1021/acs.macromol.6b00136
S=C1O[C@H]2C=CCO[C@@H]2CS1,solvent,THF,s,s,-22.0,-61.0,10.1039/D2CC01322C
S=C1O[C@H]2C=CCO[C@@H]2CS1,solvent,"1,2-dichloroethane",s,s,-25.6,-80.0,10.1039/D2CC01322C
S=C1O[C@H]2CCCO[C@@H]2CS1,solvent,"1,2-dichloroethane",s,s,-3.41,-15.7,10.1039/D2PY01366E
